user_id,fraud_risk,Card1,Card2,Card3,Card4,Card5,IP1,IP2,IP3,IP4,IP5,Device1,Device2,Device3,Device4,Device5
0,0,0,1,2,-1,-1,0,1,2,3,4,0,1,2,3,-1
1,0,3,-1,-1,-1,-1,5,6,7,8,9,4,-1,-1,-1,-1
2,0,4,5,-1,-1,-1,10,11,12,13,14,5,-1,-1,-1,-1
3,0,6,7,8,9,10,15,16,17,18,19,6,7,-1,-1,-1
4,0,11,12,13,14,15,16,17,18,19,20,8,9,-1,-1,-1
5,0,16,17,18,19,-1,16,18,21,22,0,10,-1,-1,-1,-1
6,0,20,21,22,23,-1,23,24,25,26,27,11,-1,-1,-1,-1
7,0,-1,-1,-1,-1,-1,28,29,30,31,32,12,13,-1,-1,-1
8,1,24,25,26,-1,-1,33,34,35,36,37,-1,-1,-1,-1,-1
9,0,27,-1,-1,-1,-1,20,38,39,40,41,14,-1,-1,-1,-1
10,0,28,29,30,31,32,15,42,43,44,45,15,-1,-1,-1,-1
11,1,33,34,35,36,37,15,46,47,48,49,16,17,18,-1,-1
12,0,38,39,40,41,42,15,16,17,20,50,19,-1,-1,-1,-1
13,0,43,44,45,46,47,15,51,52,53,54,20,21,22,-1,-1
14,0,48,49,-1,-1,-1,55,56,57,58,59,23,-1,-1,-1,-1
15,0,50,51,52,53,54,60,61,62,63,64,24,25,26,-1,-1
16,0,55,56,-1,-1,-1,65,51,66,67,68,27,-1,-1,-1,-1
17,0,57,58,59,60,-1,69,70,54,71,72,28,29,30,-1,-1
18,0,61,62,-1,-1,-1,18,19,23,73,74,31,-1,-1,-1,-1
19,0,63,64,65,-1,-1,75,76,77,78,79,32,33,-1,-1,-1
20,0,66,-1,-1,-1,-1,80,81,82,83,84,34,35,-1,-1,-1
21,0,67,68,69,70,71,85,86,87,88,89,36,-1,-1,-1,-1
22,0,72,73,74,75,76,16,17,20,90,50,37,38,-1,-1,-1
23,0,77,78,79,80,81,15,16,17,90,91,39,-1,-1,-1,-1
24,0,82,83,84,85,86,15,16,17,20,21,40,41,42,43,44
25,0,87,88,89,90,91,92,93,94,95,96,45,46,-1,-1,-1
26,0,92,93,94,95,-1,97,98,99,100,101,47,48,-1,-1,-1
27,0,96,97,-1,-1,-1,102,54,103,104,105,49,50,51,-1,-1
28,0,98,-1,-1,-1,-1,48,106,53,107,108,52,-1,-1,-1,-1
29,0,99,100,101,102,103,15,109,110,111,112,-1,-1,-1,-1,-1
30,0,104,105,106,107,-1,113,114,115,116,117,53,54,55,-1,-1
31,0,108,109,110,111,112,118,119,120,121,122,56,-1,-1,-1,-1
32,0,113,114,115,116,117,15,16,17,18,123,57,58,59,60,-1
33,0,118,119,120,-1,-1,103,124,125,126,127,61,-1,-1,-1,-1
34,0,121,122,123,124,-1,128,129,130,131,132,62,-1,-1,-1,-1
35,0,125,126,127,128,129,16,133,134,135,136,63,-1,-1,-1,-1
36,0,130,131,132,133,134,18,19,90,23,91,64,-1,-1,-1,-1
37,0,135,136,-1,-1,-1,46,137,138,139,140,-1,-1,-1,-1,-1
38,0,137,138,139,140,141,15,16,18,19,20,-1,-1,-1,-1,-1
39,0,142,-1,-1,-1,-1,16,90,141,142,143,65,-1,-1,-1,-1
40,0,143,144,145,146,147,144,145,146,147,148,66,67,68,69,70
41,0,148,149,150,151,152,15,149,150,151,152,71,-1,-1,-1,-1
42,0,153,154,155,156,157,18,153,154,155,156,72,-1,-1,-1,-1
43,0,158,159,160,161,162,157,158,159,160,161,73,74,75,-1,-1
44,0,163,164,165,166,167,15,162,163,69,164,76,-1,-1,-1,-1
45,0,168,169,170,171,172,17,20,21,165,153,77,-1,-1,-1,-1
46,0,173,174,175,176,177,15,16,17,90,165,78,-1,-1,-1,-1
47,0,178,179,-1,-1,-1,18,19,153,4,166,79,80,81,-1,-1
48,0,180,181,182,183,184,16,90,50,46,22,82,83,-1,-1,-1
49,0,-1,-1,-1,-1,-1,167,168,-1,-1,-1,84,85,-1,-1,-1
50,0,185,-1,-1,-1,-1,69,169,170,171,172,86,-1,-1,-1,-1
51,0,186,187,188,189,190,15,16,18,19,20,87,-1,-1,-1,-1
52,0,191,192,-1,-1,-1,173,51,170,52,174,88,-1,-1,-1,-1
53,0,193,194,195,196,197,15,175,176,177,178,89,90,91,92,93
54,0,198,199,200,201,202,18,19,23,179,180,94,95,-1,-1,-1
55,0,203,-1,-1,-1,-1,90,181,182,183,184,96,97,98,99,100
56,0,204,-1,-1,-1,-1,185,186,187,-1,-1,101,-1,-1,-1,-1
57,0,205,206,207,208,209,15,21,65,188,189,102,103,-1,-1,-1
58,0,210,211,212,213,214,15,16,17,18,19,104,-1,-1,-1,-1
59,0,215,216,217,-1,-1,190,191,192,193,194,105,106,-1,-1,-1
60,0,218,-1,-1,-1,-1,195,196,197,198,-1,107,108,-1,-1,-1
61,0,219,220,-1,-1,-1,199,200,201,202,203,109,110,-1,-1,-1
62,0,221,222,223,224,225,15,16,23,162,3,111,112,113,-1,-1
63,0,226,227,228,-1,-1,18,19,20,90,204,114,-1,-1,-1,-1
64,0,229,230,231,232,233,205,206,149,207,208,115,116,-1,-1,-1
65,0,234,235,-1,-1,-1,209,210,211,212,213,117,-1,-1,-1,-1
66,0,-1,-1,-1,-1,-1,214,215,216,217,218,118,119,-1,-1,-1
67,0,236,237,238,239,240,15,16,20,21,165,120,-1,-1,-1,-1
68,0,241,242,243,244,245,15,219,220,221,222,121,122,-1,-1,-1
69,0,246,-1,-1,-1,-1,15,135,223,-1,-1,-1,-1,-1,-1,-1
70,0,247,248,249,250,251,190,224,225,226,227,123,-1,-1,-1,-1
71,0,-1,-1,-1,-1,-1,228,-1,-1,-1,-1,124,125,-1,-1,-1
72,0,252,253,254,-1,-1,229,230,231,232,233,126,-1,-1,-1,-1
73,0,255,256,257,258,259,15,69,234,235,236,127,-1,-1,-1,-1
74,0,260,261,262,263,264,15,18,163,237,238,-1,-1,-1,-1,-1
75,0,265,266,267,-1,-1,18,19,165,23,239,128,-1,-1,-1,-1
76,0,268,-1,-1,-1,-1,240,4,241,242,243,-1,-1,-1,-1,-1
77,0,269,-1,-1,-1,-1,15,244,245,246,247,-1,-1,-1,-1,-1
78,0,270,-1,-1,-1,-1,248,249,250,251,252,129,130,-1,-1,-1
79,0,271,272,273,274,275,15,253,254,255,256,131,132,133,134,-1
80,0,276,277,-1,-1,-1,257,258,259,260,261,135,-1,-1,-1,-1
81,0,278,-1,-1,-1,-1,262,260,263,264,265,136,-1,-1,-1,-1
82,0,279,280,-1,-1,-1,266,267,268,269,270,137,138,-1,-1,-1
83,0,281,282,283,284,285,15,19,21,90,165,139,-1,-1,-1,-1
84,0,286,287,288,289,-1,4,241,271,272,273,140,141,142,143,144
85,0,290,-1,-1,-1,-1,274,275,276,277,278,145,146,147,148,-1
86,0,-1,-1,-1,-1,-1,279,3,280,281,282,-1,-1,-1,-1,-1
87,0,291,-1,-1,-1,-1,283,284,-1,-1,-1,149,150,151,152,-1
88,0,292,-1,-1,-1,-1,15,285,286,287,288,153,154,-1,-1,-1
89,0,293,294,295,296,297,23,133,50,204,162,155,156,-1,-1,-1
90,0,298,299,300,-1,-1,204,289,290,291,292,157,158,159,-1,-1
91,0,301,302,303,304,305,21,90,50,22,293,160,-1,-1,-1,-1
92,0,306,307,308,-1,-1,294,295,296,-1,-1,161,-1,-1,-1,-1
93,0,309,310,311,312,313,15,16,17,18,20,162,163,-1,-1,-1
94,0,314,315,316,317,318,18,90,279,297,137,164,-1,-1,-1,-1
95,0,319,-1,-1,-1,-1,298,299,139,300,301,165,-1,-1,-1,-1
96,0,320,321,322,-1,-1,302,303,304,305,306,166,-1,-1,-1,-1
97,0,323,-1,-1,-1,-1,307,308,309,310,311,167,-1,-1,-1,-1
98,0,324,325,-1,-1,-1,15,312,313,314,315,-1,-1,-1,-1,-1
99,0,326,327,328,329,-1,316,317,318,319,320,168,169,-1,-1,-1
100,0,-1,-1,-1,-1,-1,321,-1,-1,-1,-1,170,171,172,173,174
101,1,330,331,332,333,334,15,322,323,324,325,175,176,-1,-1,-1
102,0,335,336,337,338,339,15,204,326,240,171,177,-1,-1,-1,-1
103,0,340,341,342,343,344,16,327,131,328,329,178,179,180,181,182
104,0,345,346,347,348,349,330,331,332,333,334,183,184,-1,-1,-1
105,0,350,351,352,353,-1,15,16,17,18,19,185,-1,-1,-1,-1
106,0,354,-1,-1,-1,-1,90,297,335,336,337,186,-1,-1,-1,-1
107,0,355,356,357,-1,-1,20,21,164,338,206,187,-1,-1,-1,-1
108,0,358,359,-1,-1,-1,15,90,91,339,340,-1,-1,-1,-1,-1
109,0,360,361,362,-1,-1,91,339,341,237,336,188,189,-1,-1,-1
110,0,363,364,365,366,367,342,343,344,345,346,190,191,-1,-1,-1
111,0,368,369,370,371,372,15,16,17,20,21,192,-1,-1,-1,-1
112,0,373,374,375,376,377,15,18,19,153,347,193,-1,-1,-1,-1
113,0,378,-1,-1,-1,-1,348,349,350,351,-1,194,-1,-1,-1,-1
114,0,-1,-1,-1,-1,-1,352,-1,-1,-1,-1,195,196,-1,-1,-1
115,0,379,-1,-1,-1,-1,353,354,355,-1,-1,-1,-1,-1,-1,-1
116,0,380,381,382,383,384,15,16,21,153,356,197,-1,-1,-1,-1
117,0,385,386,387,388,-1,123,297,48,357,358,-1,-1,-1,-1,-1
118,0,389,390,-1,-1,-1,15,16,17,20,75,198,-1,-1,-1,-1
119,0,391,392,-1,-1,-1,15,16,17,18,19,199,-1,-1,-1,-1
120,0,393,394,395,396,397,50,359,360,361,362,200,-1,-1,-1,-1
121,0,398,399,400,401,402,15,90,363,359,107,201,-1,-1,-1,-1
122,0,403,404,-1,-1,-1,15,355,364,365,-1,-1,-1,-1,-1,-1
123,0,405,406,407,-1,-1,234,66,170,51,229,202,-1,-1,-1,-1
124,0,408,409,-1,-1,-1,68,366,367,368,369,203,204,-1,-1,-1
125,0,410,411,412,-1,-1,370,371,372,373,374,205,-1,-1,-1,-1
126,0,413,414,415,-1,-1,169,375,376,377,378,206,207,208,-1,-1
127,0,416,-1,-1,-1,-1,78,379,380,381,382,209,-1,-1,-1,-1
128,0,417,418,419,-1,-1,15,326,293,383,356,-1,-1,-1,-1,-1
129,0,420,421,422,423,-1,384,385,386,387,388,210,-1,-1,-1,-1
130,0,424,425,426,427,428,389,390,391,392,393,211,-1,-1,-1,-1
131,0,429,430,431,432,433,15,164,236,129,166,-1,-1,-1,-1,-1
132,0,434,435,436,437,-1,34,394,395,396,397,212,-1,-1,-1,-1
133,0,438,439,440,441,442,15,18,19,90,165,213,-1,-1,-1,-1
134,0,443,444,-1,-1,-1,398,399,400,401,402,214,-1,-1,-1,-1
135,0,445,446,447,448,449,21,47,62,403,404,215,-1,-1,-1,-1
136,0,450,451,452,-1,-1,68,189,405,406,407,216,217,-1,-1,-1
137,0,453,454,455,456,-1,128,4,173,65,408,218,-1,-1,-1,-1
138,0,457,458,-1,-1,-1,409,410,411,412,413,219,-1,-1,-1,-1
139,0,459,-1,-1,-1,-1,414,415,222,416,417,220,221,222,-1,-1
140,0,460,461,462,463,464,15,418,419,420,355,-1,-1,-1,-1,-1
141,0,465,-1,-1,-1,-1,334,421,422,423,424,223,224,-1,-1,-1
142,0,466,-1,-1,-1,-1,20,418,425,426,427,225,-1,-1,-1,-1
143,0,467,468,469,470,-1,428,239,179,180,429,226,-1,-1,-1,-1
144,0,471,472,473,-1,-1,164,4,241,430,431,227,228,-1,-1,-1
145,0,474,475,476,477,478,16,17,46,432,433,229,-1,-1,-1,-1
146,0,-1,-1,-1,-1,-1,434,435,436,437,438,230,-1,-1,-1,-1
147,0,479,480,481,-1,-1,16,17,123,162,439,231,-1,-1,-1,-1
148,0,482,-1,-1,-1,-1,440,441,442,443,444,232,233,234,235,236
149,0,483,484,485,486,487,15,16,17,20,21,237,238,-1,-1,-1
150,0,488,-1,-1,-1,-1,376,445,446,447,448,239,240,241,-1,-1
151,0,489,-1,-1,-1,-1,449,450,451,452,453,242,243,-1,-1,-1
152,0,490,491,492,493,-1,165,153,69,70,454,244,245,-1,-1,-1
153,0,494,-1,-1,-1,-1,257,455,456,457,458,246,-1,-1,-1,-1
154,0,495,496,497,498,-1,15,17,18,23,133,247,-1,-1,-1,-1
155,0,499,500,501,-1,-1,16,17,90,165,123,248,-1,-1,-1,-1
156,0,502,503,504,505,506,18,19,90,153,23,40,249,250,251,-1
157,0,507,508,-1,-1,-1,459,460,461,462,463,252,-1,-1,-1,-1
158,0,509,510,-1,-1,-1,131,102,464,465,26,253,254,255,-1,-1
159,0,511,512,513,-1,-1,15,21,204,162,466,256,-1,-1,-1,-1
160,0,514,515,-1,-1,-1,15,16,20,50,162,257,258,-1,-1,-1
161,0,516,517,-1,-1,-1,50,467,468,77,469,259,260,-1,-1,-1
162,0,-1,-1,-1,-1,-1,15,470,418,471,419,-1,-1,-1,-1,-1
163,0,518,519,520,521,522,15,472,473,474,475,261,-1,-1,-1,-1
164,0,523,524,525,526,527,476,38,39,477,478,262,-1,-1,-1,-1
165,0,528,529,530,531,-1,479,131,480,481,482,263,264,265,-1,-1
166,0,532,533,-1,-1,-1,439,128,52,483,102,266,-1,-1,-1,-1
167,0,534,535,-1,-1,-1,484,485,486,487,488,267,-1,-1,-1,-1
168,0,536,537,538,539,540,15,16,17,18,19,268,-1,-1,-1,-1
169,0,541,542,543,544,545,69,164,130,76,440,269,270,271,272,-1
170,0,546,547,-1,-1,-1,489,490,491,492,493,273,274,-1,-1,-1
171,0,548,549,550,551,552,494,495,496,497,498,275,276,277,-1,-1
172,0,553,554,555,-1,-1,418,499,500,501,502,278,-1,-1,-1,-1
173,0,556,557,558,559,560,503,504,505,506,507,279,280,281,-1,-1
